frame,score_dynamic,score_dynamic_smoothed_w5,component_rarity,component_transition_surprise,component_local_density
0,38.640973630831645,38.640973630831645,,,38.640973630831645
1,93.71196754563894,93.71196754563894,,,93.71196754563894
2,99.79716024340772,93.71196754563894,,,99.79716024340772
3,96.75456389452333,93.71196754563894,,,96.75456389452333
4,27.99188640973631,57.809330628803245,,,27.99188640973631
5,42.90060851926978,42.90060851926978,,,42.90060851926978
6,57.809330628803245,42.90060851926978,,,57.809330628803245
7,14.0973630831643,57.809330628803245,,,14.0973630831643
8,79.91886409736308,57.809330628803245,,,79.91886409736308
9,61.86612576064908,36.206896551724135,,,61.86612576064908
10,36.206896551724135,36.206896551724135,,,36.206896551724135
11,13.08316430020284,31.74442190669371,,,13.08316430020284
12,31.74442190669371,31.74442190669371,,,31.74442190669371
13,20.689655172413794,20.689655172413794,,,20.689655172413794
14,48.17444219066937,31.74442190669371,,,48.17444219066937
15,8.417849898580123,20.689655172413794,,,8.417849898580123
16,92.79918864097363,25.456389452332655,,,92.79918864097363
17,4.259634888438134,8.417849898580123,,,4.259634888438134
18,25.456389452332655,10.141987829614605,,,25.456389452332655
19,0.6085192697768762,4.259634888438134,,,0.6085192697768762
20,10.141987829614605,10.141987829614605,,,10.141987829614605
21,2.231237322515213,10.141987829614605,,,2.231237322515213
22,23.427991886409735,18.559837728194726,,,23.427991886409735
23,24.137931034482758,23.427991886409735,,,24.137931034482758
24,18.559837728194726,24.137931034482758,,,18.559837728194726
25,53.14401622718052,24.137931034482758,,,53.14401622718052
26,81.84584178498986,53.14401622718052,,,81.84584178498986
27,18.864097363083165,53.14401622718052,,,18.864097363083165
28,53.44827586206896,19.675456389452332,,,53.44827586206896
29,19.675456389452332,18.864097363083165,,,19.675456389452332
30,13.28600405679513,19.675456389452332,,,13.28600405679513
31,0.2028397565922921,19.675456389452332,,,0.2028397565922921
32,77.28194726166329,25.354969574036513,,,77.28194726166329
33,25.354969574036513,60.24340770791075,,,25.354969574036513
34,60.24340770791075,60.24340770791075,,,60.24340770791075
35,81.54158215010142,60.24340770791075,,,81.54158215010142
36,51.724137931034484,72.51521298174443,,,51.724137931034484
37,89.65517241379311,72.51521298174443,,,89.65517241379311
38,72.51521298174443,70.28397565922921,,,72.51521298174443
39,70.28397565922921,70.28397565922921,,,70.28397565922921
40,61.96754563894523,61.96754563894523,,,61.96754563894523
41,33.164300202839755,56.3894523326572,,,33.164300202839755
42,4.158215010141988,33.164300202839755,,,4.158215010141988
43,56.3894523326572,27.586206896551722,,,56.3894523326572
44,0.5070993914807302,25.25354969574036,,,0.5070993914807302
45,27.586206896551722,25.25354969574036,,,27.586206896551722
46,25.25354969574036,25.25354969574036,,,25.25354969574036
47,7.809330628803246,27.586206896551722,,,7.809330628803246
48,29.20892494929006,29.20892494929006,,,29.20892494929006
49,47.26166328600406,47.26166328600406,,,47.26166328600406
50,61.561866125760645,61.561866125760645,,,61.561866125760645
51,66.32860040567951,61.561866125760645,,,66.32860040567951
52,74.13793103448276,61.561866125760645,,,74.13793103448276
53,2.332657200811359,35.80121703853955,,,2.332657200811359
54,35.80121703853955,14.807302231237324,,,35.80121703853955
55,3.2454361054766734,14.807302231237324,,,3.2454361054766734
56,14.807302231237324,35.80121703853955,,,14.807302231237324
57,64.60446247464503,16.024340770791078,,,64.60446247464503
58,45.030425963488845,16.024340770791078,,,45.030425963488845
59,16.024340770791078,45.030425963488845,,,16.024340770791078
60,8.823529411764707,21.095334685598377,,,8.823529411764707
61,80.32454361054768,21.095334685598377,,,80.32454361054768
62,21.095334685598377,30.52738336713996,,,21.095334685598377
63,54.361054766734284,30.52738336713996,,,54.361054766734284
64,30.52738336713996,21.095334685598377,,,30.52738336713996
65,0.10141987829614604,13.590263691683571,,,0.10141987829614604
66,2.535496957403651,13.590263691683571,,,2.535496957403651
67,13.590263691683571,4.9695740365111565,,,13.590263691683571
68,50.40567951318459,13.590263691683571,,,50.40567951318459
69,4.9695740365111565,18.45841784989858,,,4.9695740365111565
70,55.88235294117647,20.79107505070994,,,55.88235294117647
71,18.45841784989858,18.45841784989858,,,18.45841784989858
72,20.79107505070994,18.45841784989858,,,20.79107505070994
73,5.070993914807302,18.45841784989858,,,5.070993914807302
74,9.432048681541582,20.79107505070994,,,9.432048681541582
75,83.97565922920892,46.45030425963489,,,83.97565922920892
76,46.45030425963489,46.45030425963489,,,46.45030425963489
77,95.23326572008114,46.45030425963489,,,95.23326572008114
78,29.61460446247465,46.45030425963489,,,29.61460446247465
79,45.436105476673426,70.89249492900609,,,45.436105476673426
80,70.89249492900609,45.436105476673426,,,70.89249492900609
81,80.73022312373224,45.436105476673426,,,80.73022312373224
82,34.5841784989858,54.462474645030426,,,34.5841784989858
83,31.947261663286003,54.462474645030426,,,31.947261663286003
84,54.462474645030426,54.462474645030426,,,54.462474645030426
85,76.8762677484787,59.63488843813387,,,76.8762677484787
86,59.63488843813387,59.63488843813387,,,59.63488843813387
87,80.8316430020284,59.63488843813387,,,80.8316430020284
88,54.96957403651116,54.96957403651116,,,54.96957403651116
89,40.56795131845842,40.56795131845842,,,40.56795131845842
90,10.649087221095336,36.61257606490872,,,10.649087221095336
91,36.61257606490872,30.93306288032454,,,36.61257606490872
92,13.387423935091277,16.43002028397566,,,13.387423935091277
93,30.93306288032454,22.210953346855984,,,30.93306288032454
94,16.43002028397566,22.210953346855984,,,16.43002028397566
95,22.210953346855984,26.774847870182555,,,22.210953346855984
96,26.774847870182555,26.774847870182555,,,26.774847870182555
97,61.05476673427992,26.774847870182555,,,61.05476673427992
98,91.37931034482759,26.774847870182555,,,91.37931034482759
99,5.172413793103448,44.62474645030426,,,5.172413793103448
100,12.677484787018257,12.880324543610547,,,12.677484787018257
101,44.62474645030426,12.677484787018257,,,44.62474645030426
102,12.880324543610547,12.677484787018257,,,12.880324543610547
103,1.7241379310344827,12.880324543610547,,,1.7241379310344827
104,6.186612576064909,12.880324543610547,,,6.186612576064909
105,22.10953346855984,17.951318458417852,,,22.10953346855984
106,17.951318458417852,22.10953346855984,,,17.951318458417852
107,42.292089249492896,42.292089249492896,,,42.292089249492896
108,97.66734279918865,58.21501014198783,,,97.66734279918865
109,87.32251521298174,58.21501014198783,,,87.32251521298174
110,58.21501014198783,58.21501014198783,,,58.21501014198783
111,28.093306288032455,28.093306288032455,,,28.093306288032455
112,3.4482758620689653,28.093306288032455,,,3.4482758620689653
113,23.32657200811359,28.093306288032455,,,23.32657200811359
114,44.827586206896555,44.827586206896555,,,44.827586206896555
115,85.80121703853956,45.537525354969574,,,85.80121703853956
116,74.84787018255578,65.01014198782961,,,74.84787018255578
117,45.537525354969574,65.01014198782961,,,45.537525354969574
118,65.01014198782961,45.537525354969574,,,65.01014198782961
119,33.062880324543606,33.062880324543606,,,33.062880324543606
120,1.9269776876267748,29.006085192697768,,,1.9269776876267748
121,29.006085192697768,28.904665314401623,,,29.006085192697768
122,28.904665314401623,28.904665314401623,,,28.904665314401623
123,19.574036511156187,29.006085192697768,,,19.574036511156187
124,37.62677484787018,37.62677484787018,,,37.62677484787018
125,69.47261663286004,69.47261663286004,,,69.47261663286004
126,74.94929006085192,69.47261663286004,,,74.94929006085192
127,76.16632860040568,74.94929006085192,,,76.16632860040568
128,65.61866125760649,74.94929006085192,,,65.61866125760649
129,86.51115618661258,65.61866125760649,,,86.51115618661258
130,50.20283975659229,63.083164300202846,,,50.20283975659229
131,47.870182555780936,50.30425963488844,,,47.870182555780936
132,63.083164300202846,50.20283975659229,,,63.083164300202846
133,50.30425963488844,47.870182555780936,,,50.30425963488844
134,4.36105476673428,9.837728194726166,,,4.36105476673428
135,9.837728194726166,9.837728194726166,,,9.837728194726166
136,1.8255578093306288,9.837728194726166,,,1.8255578093306288
137,35.19269776876268,15.314401622718051,,,35.19269776876268
138,15.314401622718051,16.937119675456387,,,15.314401622718051
139,20.08113590263692,20.08113590263692,,,20.08113590263692
140,16.937119675456387,19.776876267748477,,,16.937119675456387
141,46.65314401622718,19.776876267748477,,,46.65314401622718
142,19.776876267748477,16.937119675456387,,,19.776876267748477
143,11.866125760649087,14.300202839756594,,,11.866125760649087
144,14.300202839756594,14.300202839756594,,,14.300202839756594
145,1.0141987829614605,11.866125760649087,,,1.0141987829614605
146,28.803245436105477,14.300202839756594,,,28.803245436105477
147,3.7525354969574036,28.803245436105477,,,3.7525354969574036
148,80.52738336713996,35.39553752535497,,,80.52738336713996
149,35.39553752535497,51.21703853955375,,,35.39553752535497
150,58.113590263691684,51.21703853955375,,,58.113590263691684
151,51.21703853955375,35.39553752535497,,,51.21703853955375
152,4.563894523326572,4.563894523326572,,,4.563894523326572
153,0.8113590263691683,4.563894523326572,,,0.8113590263691683
154,1.6227180527383367,4.563894523326572,,,1.6227180527383367
155,66.12576064908721,21.703853955375255,,,66.12576064908721
156,39.95943204868154,21.703853955375255,,,39.95943204868154
157,21.703853955375255,39.95943204868154,,,21.703853955375255
158,10.446247464503044,21.703853955375255,,,10.446247464503044
159,55.070993914807296,11.359026369168356,,,55.070993914807296
160,8.012170385395539,11.359026369168356,,,8.012170385395539
161,11.359026369168356,55.070993914807296,,,11.359026369168356
162,67.03853955375254,67.03853955375254,,,67.03853955375254
163,68.96551724137932,67.03853955375254,,,68.96551724137932
164,78.29614604462475,67.03853955375254,,,78.29614604462475
165,22.413793103448278,48.782961460446245,,,22.413793103448278
166,48.782961460446245,48.782961460446245,,,48.782961460446245
167,8.620689655172415,24.543610547667345,,,8.620689655172415
168,96.65314401622717,29.918864097363084,,,96.65314401622717
169,24.543610547667345,24.543610547667345,,,24.543610547667345
170,29.918864097363084,24.543610547667345,,,29.918864097363084
171,11.257606490872211,19.168356997971603,,,11.257606490872211
172,1.1156186612576064,19.168356997971603,,,1.1156186612576064
173,19.168356997971603,11.257606490872211,,,19.168356997971603
174,49.290060851926974,19.168356997971603,,,49.290060851926974
175,7.707910750507099,24.239350912778903,,,7.707910750507099
176,24.239350912778903,24.239350912778903,,,24.239350912778903
177,33.2657200811359,24.239350912778903,,,33.2657200811359
178,8.113590263691684,33.2657200811359,,,8.113590263691684
179,92.59634888438134,77.78904665314401,,,92.59634888438134
180,94.11764705882352,77.78904665314401,,,94.11764705882352
181,77.78904665314401,77.78904665314401,,,77.78904665314401
182,73.32657200811359,73.32657200811359,,,73.32657200811359
183,14.401622718052739,73.32657200811359,,,14.401622718052739
184,1.4198782961460445,14.401622718052739,,,1.4198782961460445
185,92.19066937119675,14.401622718052739,,,92.19066937119675
186,9.127789046653144,19.066937119675455,,,9.127789046653144
187,19.066937119675455,25.050709939148074,,,19.066937119675455
188,25.050709939148074,25.050709939148074,,,25.050709939148074
189,65.31440162271805,25.050709939148074,,,65.31440162271805
190,56.28803245436106,51.926977687626774,,,56.28803245436106
191,6.389452332657202,51.926977687626774,,,6.389452332657202
192,51.926977687626774,18.154158215010142,,,51.926977687626774
193,18.154158215010142,16.328600405679513,,,18.154158215010142
194,16.328600405679513,16.328600405679513,,,16.328600405679513
195,6.085192697768763,16.328600405679513,,,6.085192697768763
196,3.8539553752535496,6.085192697768763,,,3.8539553752535496
197,37.52535496957404,6.085192697768763,,,37.52535496957404
198,5.983772819472617,17.44421906693712,,,5.983772819472617
199,27.38336713995943,27.38336713995943,,,27.38336713995943
200,17.44421906693712,27.38336713995943,,,17.44421906693712
201,36.004056795131845,35.598377281947265,,,36.004056795131845
202,35.598377281947265,36.004056795131845,,,35.598377281947265
203,86.61257606490872,36.004056795131845,,,86.61257606490872
204,45.233265720081135,45.233265720081135,,,45.233265720081135
205,30.121703853955374,55.375253549695735,,,30.121703853955374
206,55.375253549695735,47.66734279918864,,,55.375253549695735
207,60.649087221095336,55.375253549695735,,,60.649087221095336
208,47.66734279918864,60.649087221095336,,,47.66734279918864
209,94.9290060851927,61.4604462474645,,,94.9290060851927
210,61.4604462474645,87.2210953346856,,,61.4604462474645
211,87.2210953346856,87.2210953346856,,,87.2210953346856
212,93.50912778904666,86.40973630831643,,,93.50912778904666
213,79.41176470588235,86.40973630831643,,,79.41176470588235
214,86.40973630831643,79.61460446247465,,,86.40973630831643
215,57.606490872210955,79.41176470588235,,,57.606490872210955
216,79.61460446247465,79.61460446247465,,,79.61460446247465
217,57.30223123732252,57.606490872210955,,,57.30223123732252
218,89.24949290060852,57.30223123732252,,,89.24949290060852
219,47.46450304259635,47.46450304259635,,,47.46450304259635
220,10.344827586206897,39.046653144016226,,,10.344827586206897
221,39.046653144016226,39.046653144016226,,,39.046653144016226
222,5.780933062880324,16.12576064908722,,,5.780933062880324
223,53.65111561866126,16.12576064908722,,,53.65111561866126
224,16.12576064908722,16.12576064908722,,,16.12576064908722
225,3.0425963488843815,27.079107505070994,,,3.0425963488843815
226,72.21095334685599,27.079107505070994,,,72.21095334685599
227,27.079107505070994,27.079107505070994,,,27.079107505070994
228,33.97565922920893,33.97565922920893,,,33.97565922920893
229,9.330628803245435,33.97565922920893,,,9.330628803245435
230,59.83772819472617,38.33671399594321,,,59.83772819472617
231,60.14198782961461,59.83772819472617,,,60.14198782961461
232,38.33671399594321,59.83772819472617,,,38.33671399594321
233,69.5740365111562,60.14198782961461,,,69.5740365111562
234,29.107505070993916,69.5740365111562,,,29.107505070993916
235,74.0365111561866,69.5740365111562,,,74.0365111561866
236,73.22515212981745,48.88438133874239,,,73.22515212981745
237,48.88438133874239,48.88438133874239,,,48.88438133874239
238,29.513184584178497,48.88438133874239,,,29.513184584178497
239,32.758620689655174,32.758620689655174,,,32.758620689655174
240,84.58417849898579,29.513184584178497,,,84.58417849898579
241,10.04056795131846,21.8052738336714,,,10.04056795131846
242,14.503042596348884,21.8052738336714,,,14.503042596348884
243,21.8052738336714,14.503042596348884,,,21.8052738336714
244,30.73022312373225,21.8052738336714,,,30.73022312373225
245,13.488843813387424,21.8052738336714,,,13.488843813387424
246,78.19472616632859,14.908722109533468,,,78.19472616632859
247,12.271805273833673,14.908722109533468,,,12.271805273833673
248,14.908722109533468,14.908722109533468,,,14.908722109533468
249,56.49087221095335,12.271805273833673,,,56.49087221095335
250,5.679513184584178,10.851926977687627,,,5.679513184584178
251,2.839756592292089,10.851926977687627,,,2.839756592292089
252,10.851926977687627,10.851926977687627,,,10.851926977687627
253,72.920892494929,28.600405679513187,,,72.920892494929
254,97.26166328600405,50.50709939148072,,,97.26166328600405
255,28.600405679513187,50.50709939148072,,,28.600405679513187
256,50.50709939148072,50.50709939148072,,,50.50709939148072
257,43.91480730223123,50.50709939148072,,,43.91480730223123
258,82.25152129817445,50.50709939148072,,,82.25152129817445
259,56.5922920892495,43.91480730223123,,,56.5922920892495
260,6.9979716024340775,43.30628803245436,,,6.9979716024340775
261,43.30628803245436,43.30628803245436,,,43.30628803245436
262,22.515212981744423,43.30628803245436,,,22.515212981744423
263,65.41582150101421,43.30628803245436,,,65.41582150101421
264,55.2738336713996,55.2738336713996,,,55.2738336713996
265,24.442190669371197,55.2738336713996,,,24.442190669371197
266,63.894523326572006,55.2738336713996,,,63.894523326572006
267,41.27789046653144,62.37322515212982,,,41.27789046653144
268,62.37322515212982,63.894523326572006,,,62.37322515212982
269,99.59432048681542,62.37322515212982,,,99.59432048681542
270,82.86004056795132,62.37322515212982,,,82.86004056795132
271,10.547667342799189,35.09127789046653,,,10.547667342799189
272,4.665314401622718,10.547667342799189,,,4.665314401622718
273,35.09127789046653,10.547667342799189,,,35.09127789046653
274,5.88235294117647,18.66125760649087,,,5.88235294117647
275,26.8762677484787,18.66125760649087,,,26.8762677484787
276,18.66125760649087,17.13995943204868,,,18.66125760649087
