frame,score_dynamic,score_dynamic_smoothed_w5,component_rarity,component_transition_surprise,component_local_density
0,67.07048458149781,67.07048458149781,,,67.07048458149781
1,92.84140969162996,91.18942731277532,,,92.84140969162996
2,91.18942731277532,92.84140969162996,,,91.18942731277532
3,96.36563876651982,93.94273127753304,,,96.36563876651982
4,93.94273127753304,93.94273127753304,,,93.94273127753304
5,100.0,96.36563876651982,,,100.0
6,88.21585903083701,93.94273127753304,,,88.21585903083701
7,97.90748898678414,88.21585903083701,,,97.90748898678414
8,87.99559471365639,88.21585903083701,,,87.99559471365639
9,68.28193832599119,95.48458149779736,,,68.28193832599119
10,95.48458149779736,87.99559471365639,,,95.48458149779736
11,98.568281938326,85.13215859030836,,,98.568281938326
12,85.13215859030836,85.13215859030836,,,85.13215859030836
13,85.02202643171806,85.13215859030836,,,85.02202643171806
14,56.718061674008815,85.13215859030836,,,56.718061674008815
15,92.62114537444934,85.02202643171806,,,92.62114537444934
16,89.53744493392071,89.53744493392071,,,89.53744493392071
17,79.62555066079295,89.53744493392071,,,79.62555066079295
18,90.85903083700441,89.53744493392071,,,90.85903083700441
19,83.37004405286343,90.85903083700441,,,83.37004405286343
20,94.7136563876652,90.85903083700441,,,94.7136563876652
21,94.60352422907489,89.09691629955947,,,94.60352422907489
22,73.6784140969163,89.09691629955947,,,73.6784140969163
23,89.09691629955947,75.22026431718062,,,89.09691629955947
24,72.02643171806167,75.22026431718062,,,72.02643171806167
25,75.22026431718062,89.09691629955947,,,75.22026431718062
26,97.79735682819384,76.76211453744493,,,97.79735682819384
27,97.4669603524229,88.98678414096916,,,97.4669603524229
28,76.76211453744493,94.16299559471366,,,76.76211453744493
29,88.98678414096916,91.07929515418502,,,88.98678414096916
30,94.16299559471366,91.07929515418502,,,94.16299559471366
31,91.07929515418502,91.07929515418502,,,91.07929515418502
32,93.06167400881057,91.07929515418502,,,93.06167400881057
33,90.30837004405286,91.07929515418502,,,90.30837004405286
34,79.73568281938326,93.06167400881057,,,79.73568281938326
35,98.89867841409692,90.30837004405286,,,98.89867841409692
36,94.05286343612335,80.39647577092511,,,94.05286343612335
37,80.39647577092511,82.04845814977973,,,80.39647577092511
38,79.40528634361233,82.04845814977973,,,79.40528634361233
39,82.04845814977973,82.04845814977973,,,82.04845814977973
40,98.34801762114537,91.29955947136564,,,98.34801762114537
41,91.29955947136564,98.34801762114537,,,91.29955947136564
42,98.45814977973568,98.34801762114537,,,98.45814977973568
43,98.7885462555066,95.37444933920705,,,98.7885462555066
44,95.37444933920705,95.37444933920705,,,95.37444933920705
45,80.83700440528634,89.31718061674009,,,80.83700440528634
46,43.61233480176212,80.83700440528634,,,43.61233480176212
47,89.31718061674009,68.6123348017621,,,89.31718061674009
